iteration,particle_id,units,lr,batch,dropout,cost
1,1,29.295985513024853,0.009149313937361122,60.1076883480211,0.13726766508658222,143332599.72329062
1,2,43.575024862684245,0.0010976943780094083,85.09815418869277,0.06522832020477154,9625097435.25035
1,3,51.32549647200191,0.002575234668981298,16.069002015773314,0.3359325123406345,128415018.41503072
1,4,59.75721336342258,0.006929966328980416,50.86610165333944,0.49777615409712384,139492251.51757815
1,5,19.15955882595953,0.006756234547491812,101.32124239612153,0.44164493653735,238630617.04954594
1,6,63.7342942150497,0.008183808946160722,116.02222524917713,0.30152001201470996,122663380.8014323
1,7,121.5652587706983,0.0012091438630605375,124.29440852623416,0.03099057976752062,22521963153.54247
1,8,44.478038635697544,0.005896294398414842,101.07053478720985,0.2098349606998932,154949271.01929757
1,9,76.59133356470323,0.000556376803616062,58.65648093083027,0.2588663978923155,34442238906.30285
1,10,40.32161288344625,0.007609449975403584,33.65653167388837,0.09864969532265433,214362114.78241858
1,11,95.48599909987958,0.008622698299225394,71.53267574788967,0.4779445577376512,132421564.86373197
1,12,58.34639131575145,0.0002645709031877037,86.13703891229615,0.17464324854931684,62527624697.41138
1,13,126.42728701619117,0.003047379520044878,26.037336772910095,0.1612054764438317,129727430.54702526
1,14,19.36242396193117,0.0037864261349744143,80.42216723716423,0.43404964342572006,3948352794.8436832
1,15,88.55393801400633,0.00024627814233929503,67.5929865162278,0.2705776005605826,59103842428.130646
1,16,49.28406792024736,0.0009100001529838094,33.803965854384764,0.1512597664888206,1544546110.4313235
1,17,104.23936010139866,0.004956302954496922,22.12447897834153,0.21550323059877702,140167786.73175415
1,18,61.157834135803455,0.0061794350247218275,25.250441928800704,0.3056073855043017,164502546.28894567
1,19,95.11903041509451,0.0015103775537269686,98.58766123502006,0.4919246144141026,6643832522.747746
1,20,105.27166273750817,0.002024033628614138,26.205834957675524,0.15292365185115048,149558728.8648004
2,1,69.38222501496502,0.01,87.41385950133035,0.5,121675408.76857972
2,2,47.49684943168081,0.01,128.0,0.5,242277872.60680422
2,3,54.24068004857341,0.01,128.0,0.5,202034961.19593015
2,4,65.85878499069544,0.01,128.0,0.5,140035359.13137686
2,5,31.70483266872887,0.01,119.71615717932899,0.5,176447134.7077157
2,6,64.62011141156833,0.01,116.54607899327375,0.32220858319878176,132367620.34395032
2,7,52.50026625485678,0.01,115.01350024280305,0.5,333133661.9423244
2,8,64.59973842953441,0.01,118.49104342300058,0.5,150229123.82163128
2,9,74.47091002322558,0.01,66.37312621238618,0.4268592385064106,331933200.92771775
2,10,51.397626178631526,0.01,124.92852486097865,0.5,297562412.949369
2,11,87.50245786683541,0.01,96.77438618612138,0.5,130683793.31083068
2,12,62.67930263116227,0.01,126.05098580078598,0.5,154958000.71761486
2,13,82.93949388483415,0.01,57.370346157597055,0.2848822310053087,142778508.1295573
2,14,81.1109042846052,0.01,112.84485074439658,0.5,129679914.38017495
2,15,77.15927461392936,0.01,128.0,0.5,229019635.9148638
2,16,57.47910782063513,0.01,94.05451988807084,0.5,135063178.94946918
2,17,79.81621094335962,0.01,94.87607162341422,0.5,130507555.64099228
2,18,64.63002241323872,0.01,98.26610127213175,0.5,129293900.32383484
2,19,80.14891709969146,0.01,123.9008796897819,0.5,117665806.9113248
2,20,52.60990223638443,0.01,128.0,0.3704956554918845,195668991.18671542
3,1,115.64892240755982,0.01,126.00728473888904,0.5,270546099.1596221
3,2,52.54167845682178,0.01,128.0,0.5,193642271.37388155
3,3,82.46332773009954,0.01,92.68530905435388,0.5,142687534.07373467
3,4,76.5566885923184,0.01,106.17150953448396,0.5,166906584.65858707
3,5,66.72711543299984,0.01,128.0,0.5,146959570.8810096
3,6,72.95247180166245,0.01,119.67072320087932,0.32714799142485446,125990618.14456466
3,7,16.0,0.01,119.23949602188867,0.5,157814042.7053953
3,8,105.88192883780872,0.01,128.0,0.5,109669769.73472558
3,9,75.21830305422185,0.01,128.0,0.5,133227960.97390826
3,10,56.37822374748366,0.01,128.0,0.5,135799471.055422
3,11,70.23332587213741,0.01,121.75195971602164,0.5,127674082.9118089
3,12,70.28338957430299,0.01,128.0,0.5,142688895.23465878
3,13,49.26913844109943,0.01,128.0,0.42588169086043365,119091797.33221489
3,14,128.0,0.01,128.0,0.5,159349078.73878205
3,15,71.37707609186911,0.01,128.0,0.5,117463879.82849227
3,16,90.51801176649079,0.01,128.0,0.5,134084941.60461739
3,17,58.083888394404404,0.01,128.0,0.5,432380078.9935564
3,18,80.39576615600967,0.01,128.0,0.5,220035056.40820312
3,19,66.67581511582871,0.01,128.0,0.5,192778949.2205529
3,20,104.58127314578248,0.01,128.0,0.45081409826376884,116698467.60037729
4,1,99.28753115353257,0.01,128.0,0.5,210654046.9798511
4,2,116.77739283865589,0.01,128.0,0.5,118254356.74586006
4,3,106.97261388905656,0.01,27.435155600121035,0.5,154779349.7452925
4,4,107.01331978408737,0.01,83.19091450874694,0.5,117407892.57528715
4,5,115.94116121677024,0.01,128.0,0.5,111731852.30690773
4,6,105.84694626674457,0.01,118.20035279473586,0.3736537499394437,119182106.01913063
4,7,18.14730826846521,0.01,128.0,0.5,233484857.21008614
4,8,128.0,0.01,128.0,0.5,113625478.91725095
4,9,88.26756713579465,0.01,128.0,0.5,153239195.39775306
4,10,70.45008964354479,0.01,128.0,0.5,157052342.38047543
4,11,79.05281987546341,0.01,128.0,0.5,154218390.3349192
4,12,87.42169390620685,0.01,128.0,0.5,234447108.98055223
4,13,48.976769367851205,0.01,128.0,0.5,158620295.8727798
4,14,101.3964576610949,0.01,128.0,0.5,186238190.96078727
4,15,107.11260965916564,0.01,128.0,0.5,152137637.55004674
4,16,126.08038354126595,0.01,128.0,0.5,142462909.9556791
4,17,104.83366806845285,0.01,128.0,0.5,319937861.6807893
4,18,91.92848479442284,0.01,128.0,0.5,199585630.2704661
4,19,94.41653016903285,0.01,128.0,0.5,156310559.6376035
4,20,128.0,0.01,128.0,0.5,245360785.54732573
5,1,54.62693565486718,0.01,90.11966355928752,0.5,131561171.54841079
5,2,128.0,0.01,128.0,0.5,148851730.23818108
5,3,108.40222097490174,0.01,16.0,0.4769103812959844,329376682.71546143
5,4,128.0,0.01,114.18789984484759,0.5,114508104.98385753
5,5,128.0,0.01,128.0,0.5,257788799.5786258
5,6,128.0,0.01,127.8614792781821,0.44956146127802904,154706189.6088575
5,7,128.0,0.01,128.0,0.5,162737681.8647002
5,8,120.47460271178333,0.01,128.0,0.5,185756775.2245092
5,9,102.90982008595648,0.01,128.0,0.5,110203954.99475831
5,10,78.90707435412978,0.01,128.0,0.5,141926554.35049412
5,11,107.26865941734954,0.01,128.0,0.5,197897324.7051282
5,12,97.1962132788031,0.01,128.0,0.5,151111970.21846622
5,13,117.56448775066868,0.01,128.0,0.5,118159687.17886955
5,14,67.74507380558227,0.01,128.0,0.5,139376452.90790266
5,15,128.0,0.01,128.0,0.5,126940939.27550748
5,16,115.63421926544623,0.01,128.0,0.5,209302636.58154714
5,17,123.37587617228928,0.01,118.20523958163875,0.5,149147813.26297075
5,18,88.42354987688667,0.01,122.61910495188944,0.5,164127944.43531317
5,19,115.07502105666117,0.01,128.0,0.5,273267147.35071117
5,20,126.3714651734905,0.01,128.0,0.5,148247363.66235977
6,1,99.59702593419183,0.01,108.89650669049993,0.5,110959880.5123865
6,2,128.0,0.01,128.0,0.5,115784389.9473491
6,3,45.00525628325724,0.01,75.2858976390613,0.4115524860800027,132706941.23450854
6,4,128.0,0.01,128.0,0.5,119584335.62895635
6,5,128.0,0.01,128.0,0.5,202089043.89052483
6,6,128.0,0.01,128.0,0.5,164183716.58199787
6,7,128.0,0.01,128.0,0.5,149987463.4158487
6,8,91.47447535030471,0.01,128.0,0.5,171170177.46903378
6,9,118.6540802319993,0.01,128.0,0.5,128347153.23988381
6,10,96.70146207640612,0.01,128.0,0.5,203841426.41750133
6,11,80.85872378696101,0.01,128.0,0.5,194266925.60575253
6,12,93.59686080103474,0.01,128.0,0.5,113539462.37466615
6,13,128.0,0.01,128.0,0.5,153586255.96110442
6,14,46.41863531959539,0.01,124.2754025898636,0.5,174359578.2041767
6,15,76.94494159897181,0.01,128.0,0.5,263799107.73873198
6,16,102.71285856871398,0.01,128.0,0.5,256623040.05330196
6,17,94.15696161136056,0.01,117.62670086877114,0.5,141227795.1905215
6,18,81.64841425905952,0.01,101.88619201366234,0.5,118296844.11660323
6,19,101.54561684926553,0.01,128.0,0.5,231116817.9742588
6,20,69.1384216850645,0.01,128.0,0.5,110969125.74135284
7,1,128.0,0.01,128.0,0.5,113900869.00752872
7,2,128.0,0.01,128.0,0.5,112624323.82610512
7,3,57.80317382261585,0.01,128.0,0.41538397390049925,137980576.33121327
7,4,128.0,0.01,128.0,0.5,137655206.1978666
7,5,113.56771833019943,0.01,128.0,0.5,186991171.81356838
7,6,83.08308144782534,0.01,127.71988324669552,0.5,315965336.5964543
7,7,128.0,0.01,128.0,0.5,136314488.35959202
7,8,84.2924539377193,0.01,128.0,0.5,220863159.77754408
7,9,113.03479892637256,0.01,128.0,0.5,110038336.01357172
7,10,111.44405075754005,0.01,128.0,0.5,188527594.8712774
7,11,66.06000210680344,0.01,128.0,0.5,178132733.78283587
7,12,102.01107398372746,0.01,128.0,0.5,240842844.72093683
7,13,128.0,0.01,128.0,0.5,167455379.73769698
7,14,128.0,0.01,113.92963922230344,0.5,125983561.18537997
7,15,64.80631284845488,0.01,128.0,0.5,251996508.0905282
7,16,77.52899274211045,0.01,128.0,0.5,126043810.13777043
7,17,63.79035168219407,0.01,110.13761525223066,0.5,160802300.9153646
7,18,77.24055431321612,0.01,85.17325521129723,0.5,157710834.63605103
7,19,62.93069318621046,0.01,128.0,0.5,117072994.85785592
7,20,46.15129340262541,0.01,128.0,0.5,222865836.0385617
8,1,118.48839696792022,0.01,128.0,0.5,185980580.70656383
8,2,112.91862754660177,0.01,128.0,0.5,112501688.88085939
8,3,70.69927658563218,0.01,128.0,0.4047349245319134,122430422.49387355
8,4,115.2868169914305,0.01,128.0,0.5,129649666.88640158
8,5,92.22275845986513,0.01,128.0,0.5,153559115.63099292
8,6,93.59163527533103,0.01,114.26438183514185,0.35623834364726054,126294122.88955665
8,7,128.0,0.01,128.0,0.5,175684170.81657317
8,8,122.55566205407126,0.01,128.0,0.5,212701581.7958901
8,9,100.02722830542768,0.01,128.0,0.5,156650267.7837206
8,10,66.25208209216045,0.01,128.0,0.5,110771644.22449253
8,11,77.47510377401761,0.01,118.81929943685354,0.5,213205415.0156083
8,12,113.35423775666929,0.01,128.0,0.5,132390178.25600961
8,13,125.05577624456734,0.01,128.0,0.5,118294013.31717417
8,14,128.0,0.01,110.6756127844571,0.5,111684238.81694046
8,15,71.27722653790447,0.01,128.0,0.5,134325230.60520166
8,16,81.98870786494413,0.01,128.0,0.5,110303374.23198786
8,17,65.63193627908622,0.01,119.48953712268224,0.5,144531338.63513288
8,18,102.5879545439893,0.01,116.27264479403749,0.5,125917288.38333002
8,19,47.54797527460168,0.01,128.0,0.5,158945032.8311131
8,20,128.0,0.01,128.0,0.5,109951162.36818913
9,1,74.75100413174839,0.01,121.0738043989494,0.5,142915663.4077524
9,2,97.12584095621935,0.01,128.0,0.5,465039841.6332799
9,3,118.39964012396962,0.01,128.0,0.48645413552348177,131372382.96200588
9,4,110.07227363386401,0.01,125.60630771376846,0.5,112398808.62775442
9,5,105.94842170667457,0.01,128.0,0.5,131634899.98293936
9,6,119.0861247180874,0.01,110.62335331852948,0.2865077569340895,148097165.95744863
9,7,125.84052963835917,0.01,128.0,0.5,184634988.99262154
9,8,128.0,0.01,128.0,0.5,120645618.97073653
9,9,103.50653989665554,0.01,128.0,0.5,125038678.56058028
9,10,67.5627668746722,0.01,128.0,0.5,177844314.69738248
9,11,110.71595332898308,0.01,119.75910648860774,0.5,144435793.92125735
9,12,96.32235594148928,0.01,128.0,0.5,110733151.08410124
9,13,98.75936423811982,0.01,128.0,0.5,113911434.88999067
9,14,128.0,0.01,108.49286750512857,0.5,110966433.50565907
9,15,79.6308533429279,0.01,128.0,0.5,121376422.25400643
9,16,88.07355770128548,0.01,128.0,0.5,120801955.53353699
9,17,128.0,0.01,128.0,0.5,110359816.59264825
9,18,117.2406104376495,0.01,128.0,0.5,205139160.8935964
9,19,85.41529044033165,0.01,128.0,0.5,143363092.21162194
9,20,128.0,0.01,128.0,0.5,138143377.37333065
10,1,94.01015868166752,0.01,107.9725458776813,0.5,132919592.95142227
10,2,107.82075211996919,0.01,128.0,0.5,130592141.98298945
10,3,128.0,0.01,128.0,0.45407492281738066,141002766.73981705
10,4,103.40866036064281,0.01,126.85984652506582,0.5,178936839.1568176
10,5,124.17327718045732,0.01,128.0,0.5,115458112.02176818
10,6,118.49187614378333,0.01,124.53250341743698,0.5,182664355.73834804
10,7,125.97094654430451,0.01,128.0,0.5,111128881.89970621
10,8,122.498763774409,0.01,128.0,0.5,126714124.67432892
10,9,117.9031910439516,0.01,128.0,0.5,193790725.54535592
10,10,91.16428548889553,0.01,128.0,0.5,131989998.56209935
10,11,109.52940516017495,0.01,127.1814962054091,0.5,190643465.52086672
10,12,89.12316887343333,0.01,128.0,0.5,149880572.5100661
10,13,84.78383468891936,0.01,128.0,0.5,157072696.41037327
10,14,128.0,0.01,109.06239793227306,0.5,113338311.52352098
10,15,87.11205189462098,0.01,128.0,0.5,257791158.3301783
10,16,91.31919933354406,0.01,128.0,0.5,195251751.7900641
10,17,128.0,0.01,128.0,0.5,111282184.35431692
10,18,111.79933579934539,0.01,128.0,0.5,125246032.7722022
10,19,106.79469112864315,0.01,128.0,0.5,200225937.9347289
10,20,128.0,0.01,128.0,0.5,119678495.18095623
